Game,Giveaway,points scored
2023-10-26 Philadelphia 76ers,,118.0
2023-10-29 Atlanta Hawks,Cap,110.0
2023-10-30 Miami Heat,,122.0
2023-11-03 New York Knicks,,110.0
2023-11-08 Detroit Pistons,Lunch Bag,120.0
2023-11-13 Chicago Bulls,,118.0
2023-11-18 Dallas Mavericks,,132.0
2023-11-24 Washington Wizards,,131.0
2023-11-26 Portland Trail Blazers,Travel Bag,108.0
2023-12-02 Atlanta Hawks,,132.0
2023-12-05 New York Knicks,Nesting Dolls,146.0
2023-12-11 Chicago Bulls,,133.0
2023-12-13 Indiana Pacers,,140.0
2023-12-16 Detroit Pistons,,146.0
2023-12-17 Houston Rockets,,128.0
2023-12-19 San Antonio Spurs,,132.0
2023-12-21 Orlando Magic,Puzzle,118.0
2024-01-01 Indiana Pacers,,113.0
2024-01-08 Utah Jazz,,116.0
2024-01-11 Boston Celtics,,135.0
2024-01-13 Golden State Warriors,,129.0
2024-01-14 Sacramento Kings,Timepiece,143.0
2024-01-24 Cleveland Cavaliers,Bucket Cap,126.0
2024-01-26 Cleveland Cavaliers,,100.0
2024-01-27 New Orleans Pelicans,,141.0
2024-02-08 Minnesota Timberwolves,,105.0
2024-02-09 Charlotte Hornets,Cap,120.0
2024-02-12 Denver Nuggets,Antlers,112.0
2024-02-13 Miami Heat,,97.0
2024-02-27 Charlotte Hornets,Belt Bag,123.0
2024-03-04 Los Angeles Clippers,,113.0
2024-03-14 Philadelphia 76ers,,114.0
2024-03-17 Phoenix Suns,,140.0
2024-03-21 Brooklyn Nets,,115.0
2024-03-24 Oklahoma City Thunder,,118.0
2024-03-26 Los Angeles Lakers,,124.0
2024-04-03 Memphis Grizzlies,,101.0
2024-04-05 Toronto Raptors,,111.0
2024-04-07 New York Knicks,,109.0
2024-04-09 Boston Celtics,Antlers,104.0
2024-04-10 Orlando Magic,,117.0
2024-10-25 Chicago Bulls,,122.0
2024-11-02 Cleveland Cavaliers,,113.0
2024-11-07 Utah Jazz,Beanie,123.0
2024-11-10 Boston Celtics,,107.0
2024-11-12 Toronto Raptors,,99.0
2024-11-13 Detroit Pistons,,127.0
2024-11-18 Houston Rockets,,101.0
2024-11-20 Chicago Bulls,,122.0
2024-11-22 Indiana Pacers,,129.0
2024-11-23 Charlotte Hornets,,125.0
2024-11-30 Washington Wizards,,114.0
2024-12-04 Atlanta Hawks,Trunk Organizer,104.0
2024-12-10 Orlando Magic,,114.0
2024-12-21 Washington Wizards,,112.0
2024-12-26 Brooklyn Nets,Cap,105.0
2025-01-02 Brooklyn Nets,Antlers,110.0
2025-01-04 Portland Trail Blazers,,102.0
2025-01-08 San Antonio Spurs,,121.0
2025-01-14 Sacramento Kings,,130.0
2025-01-15 Orlando Magic,Cap,122.0
2025-01-17 Toronto Raptors,,130.0
2025-01-19 Philadelphia 76ers,,123.0
2025-01-23 Miami Heat,,125.0
2025-02-02 Memphis Grizzlies,,119.0
2025-02-09 Philadelphia 76ers,,135.0
2025-02-10 Golden State Warriors,,111.0
2025-02-20 Los Angeles Clippers,,116.0
2025-02-23 Miami Heat,,101.0
2025-02-27 Denver Nuggets,,
2025-03-05 Dallas Mavericks,,
2025-03-08 Orlando Magic,Cap,
2025-03-09 Cleveland Cavaliers,,
2025-03-13 Los Angeles Lakers,,
2025-03-15 Indiana Pacers,,
2025-03-16 Oklahoma City Thunder,,
2025-03-28 New York Knicks,,
2025-03-30 Atlanta Hawks,Bucket Hat,
2025-04-01 Phoenix Suns,,
2025-04-08 Minnesota Timberwolves,,
2025-04-10 New Orleans Pelicans,,
2025-04-13 Detroit Pistons,Bobblehead,
